ID_Uzorka;GPS_LAT;GPS_LONG
1;18.478147;77.396189
2;18.490352;77.38217
3;18.482459;77.386612
4;18.478533;77.387146
5;18.485905;77.395903
6;18.481701;77.37891
7;18.487211;77.395128
8;18.483241;77.392202
9;18.484666;77.390139
10;18.486983;77.394499
11;18.484911;77.392919
12;18.480843;77.396786
13;18.489845;77.396897
14;18.486325;77.388676
15;18.490118;77.385305
16;18.482892;77.391451
17;18.486899;77.395809
18;18.474513;77.392367
19;18.479201;77.396981
20;18.4809;77.398801
21;18.490723;77.392011
22;18.486689;77.398905
23;18.485011;77.391232
24;18.478102;77.388578
25;18.478193;77.388322
26;18.489342;77.391274
27;18.487041;77.395831
28;18.493939;77.387762
29;18.494127;77.38921
30;18.480917;77.388044
31;18.491247;77.388319
32;18.487935;77.391944
33;18.488332;77.386325
34;18.480531;77.394233
35;18.472158;77.385751
36;18.478589;77.399848
37;18.492274;77.392107
38;18.477453;77.386686
39;18.48672;77.393972
40;18.482359;77.390214
41;18.486712;77.386459
42;18.477406;77.388681
43;18.481637;77.395241
44;18.483098;77.384642
45;18.478901;77.40917
46;18.482095;77.3922
47;18.489834;77.389008
48;18.489474;77.398519
49;18.486044;77.390041
50;18.484761;77.392202
51;18.48252;77.399779
52;18.484899;77.395303
53;18.486077;77.386325
54;18.491813;77.394121
55;18.477785;77.397278
56;18.484088;77.381704
57;18.489772;77.389718
58;18.488103;77.390621
59;18.486326;77.401878
60;18.481634;77.384877
61;18.487386;77.392653
62;18.484797;77.393725
63;18.482498;77.404774
64;18.489177;77.393368
65;18.490615;77.386295
66;18.491394;77.38795
67;18.489191;77.391069
68;18.476487;77.393342
69;18.481834;77.389507
70;18.482564;77.392438
71;18.48456;77.401469
72;18.487473;77.395804
73;18.481818;77.394402
74;18.484424;77.397925
75;18.487088;77.388787
76;18.482075;77.390077
77;18.494969;77.388137
78;18.482999;77.397371
79;18.482095;77.38499
80;18.486902;77.387879
81;18.487101;77.397623
82;18.480528;77.398849
83;18.473386;77.396742
84;18.487929;77.398116
85;18.487307;77.390915
86;18.492039;77.383855
87;18.477366;77.384152
88;18.488493;77.402385
89;18.477059;77.38946
90;18.488143;77.392396
91;18.484474;77.387554
92;18.487735;77.389549
93;18.480476;77.399174
94;18.477004;77.394634
95;18.49383;77.386082
96;18.48382;77.399336
97;18.485386;77.395879
98;18.484758;77.386988
99;18.491605;77.395166
100;18.482302;77.385877
101;18.477573;77.39097
102;18.484486;77.393332
103;18.488856;77.399649
104;18.484865;77.387029
105;18.491308;77.389449
106;18.487122;77.385772
107;18.47953;77.391976
108;18.486256;77.386942
109;18.491408;77.389897
110;18.488753;77.39854
111;18.483081;77.387507
112;18.483167;77.388498
113;18.48652;77.380557
114;18.489097;77.379747
115;18.492309;77.394569
116;18.488866;77.380442
117;18.48353;77.392212
118;18.479706;77.392509
119;18.484496;77.39379
120;18.48213;77.391033
121;18.493101;77.389669
122;18.491349;77.394283
123;18.489653;77.38892
124;18.492071;77.38899
125;18.48355;77.389588
126;18.479148;77.385615
127;18.487167;77.387783
128;18.490724;77.403007
129;18.488078;77.382449
130;18.481637;77.396837
131;18.493258;77.398477
132;18.489173;77.379978
133;18.489564;77.39047
134;18.48037;77.390624
135;18.475084;77.395056
136;18.487126;77.401562
137;18.482659;77.398008
138;18.485841;77.385258
139;18.493471;77.390791
140;18.486706;77.388117
141;18.485587;77.385071
142;18.484142;77.391005
143;18.480302;77.391632
144;18.493134;77.390315
145;18.480519;77.389861
146;18.481765;77.395946
147;18.486093;77.383184
148;18.484563;77.392217
149;18.474027;77.392595
150;18.488944;77.389103
151;18.484718;77.392514
152;18.48805;77.386114
153;18.490123;77.390078
154;18.489588;77.387995
155;18.495424;77.397724
156;18.482137;77.389538
157;18.491626;77.390135
158;18.486099;77.391808
159;18.47436;77.395308
160;18.487008;77.387202
161;18.487015;77.401504
162;18.487919;77.392725
163;18.492319;77.386729
164;18.482772;77.389681
165;18.48262;77.383695
166;18.479965;77.393954
167;18.483781;77.391207
168;18.486053;77.396604
169;18.48795;77.379467
170;18.479733;77.398204
171;18.476868;77.384111
172;18.490166;77.392094
173;18.484161;77.388068
174;18.489694;77.392492
175;18.479378;77.388987
176;18.486851;77.391311
177;18.481562;77.38544
178;18.483594;77.395161
179;18.485252;77.383235
180;18.482413;77.392091
181;18.490763;77.394529
182;18.485869;77.393633
183;18.494239;77.390728
184;18.482834;77.391075
185;18.49071;77.387733
186;18.481113;77.395909
187;18.484536;77.391896
188;18.477415;77.389781
189;18.488061;77.396828
190;18.488363;77.390608
191;18.480968;77.399185
192;18.491416;77.387139
193;18.488121;77.398574
194;18.481407;77.398675
195;18.479475;77.399652
196;18.480066;77.389485
197;18.491567;77.389154
198;18.486369;77.384559
199;18.488375;77.385505
200;18.492198;77.387444
201;18.485026;77.388664
202;18.485588;77.39369
203;18.47727;77.395227
204;18.486259;77.395749
205;18.485526;77.390044
206;18.489386;77.384717
207;18.486752;77.388313
208;18.487043;77.397706
209;18.487096;77.391859
210;18.480758;77.39382
211;18.489193;77.382466
212;18.476013;77.395059
213;18.481171;77.388554
214;18.481559;77.387788
215;18.48321;77.394638
216;18.486769;77.385183
217;18.485243;77.392216
218;18.486359;77.390599
219;18.488311;77.393488
220;18.4865;77.380592
221;18.479471;77.393193
222;18.489845;77.392679
223;18.482083;77.388112
224;18.485226;77.387926
225;18.47457;77.393579
226;18.479381;77.384111
227;18.492032;77.388384
228;18.485302;77.386544
229;18.482712;77.391722
230;18.485935;77.38423
231;18.484379;77.399128
232;18.485028;77.382284
233;18.481345;77.389023
234;18.483791;77.395711
235;18.484966;77.393135
236;18.48285;77.40429
237;18.482001;77.382802
238;18.482322;77.397348
239;18.481382;77.389777
240;18.480904;77.392719
241;18.486689;77.396356
242;18.49205;77.393513
243;18.483789;77.389377
244;18.481132;77.386261
245;18.472789;77.391205
